keyword,count (n),percent_true
childhood,2828,6.364922207
youth,2787,34.30211697
little one,2787,25.4754216
bundle of joy,2757,48.20457018
babe,2719,3.604266274
tot,2628,8.675799087
newborn,2609,62.16941357
pediatric,2564,24.68798752
brat,2526,8.788598575
toddler,2523,61.19698771
baby,2514,14.24025457
boy,2448,8.006535948
children,2396,66.31886477
kiddie,2379,15.63682219
girl,2379,5.884825557
kid,2359,28.65621026
child,2353,37.99405015
babies,2338,35.41488452
in elementary school,2335,14.21841542
minor,2329,4.250751395
infant,2328,52.36254296
bambino,2223,6.657669816
pupil,2217,6.720793866
teenager,2203,37.90285974
high schooler,2119,65.88013214
middle schooler,2113,59.15759584
tyke,1892,11.94503171
preschooler,1783,71.45260796
preemie,1589,58.46444305
youngling,1185,9.029535865
preterm,1119,27.52457551
rug rat,437,7.780320366
cancer,344,19.47674419
leukemia,312,47.11538462
juvenille,307,8.469055375
flexibility,300,6.333333333
rash,277,9.747292419
posture,273,4.761904762
allergy,267,5.992509363
neonate,264,58.71212121
coordination,259,8.494208494
dehydration,234,3.846153846
front yard,217,6.451612903
kindergarten,192,45.83333333
backyard,192,6.25
preschool,185,56.21621622
academy,183,14.20765027
creativity,182,8.791208791
community,182,12.63736264
condo,178,1.123595506
obesity,176,31.25
neighborhood,176,9.659090909
daycare,163,57.66871166
read,161,7.453416149
digs,160,6.875
field,159,9.433962264
muscle,158,9.493670886
middle,158,20.25316456
learning ,158,19.62025316
playground,156,33.97435897
pad,156,4.487179487
nutrition,155,14.83870968
nursery,153,23.52941176
nanny,153,36.60130719
house,152,6.578947368
rental,151,1.324503311
neighbor,149,11.40939597
ADD,149,4.026845638
day camp,147,37.41496599
SIDS,146,27.39726027
school,146,43.83561644
early education,146,36.30136986
court,146,5.479452055
swings,145,4.827586207
residence,145,2.068965517
elementary,145,34.48275862
home,144,2.777777778
memory,142,5.633802817
learning center,142,15.49295775
home-based care,142,16.90140845
solving,141,14.18439716
parkland,141,14.18439716
diabetes,141,12.76595745
disability ,140,17.14285714
critical,140,7.857142857
childcare,140,40
apartment,140,2.142857143
deficit,139,2.158273381
heart,138,7.971014493
exhaustion,138,7.246376812
center-based care,138,23.1884058
playing,136,9.558823529
running,134,7.462686567
townhouse,133,1.503759398
brain,133,10.52631579
learn,132,9.848484848
knowledge,132,11.36363636
breathe,132,6.060606061
imagination,131,7.633587786
park ,130,10
cardiovascular,129,3.875968992
activity,128,9.375
weight,127,9.448818898
reason,127,8.661417323
mind,127,2.362204724
food,127,4.724409449
smart,126,10.31746032
injury,126,2.380952381
bone,126,4.761904762
write,125,11.2
education center,125,7.2
diet,125,0
asthma,125,12.8
heat,124,4.838709677
cough,124,9.677419355
play area,123,47.15447154
disorder,123,11.38211382
curriculum,122,22.95081967
understand,120,4.166666667
dizzy,120,1.666666667
attention,120,6.666666667
anklebiter,115,5.217391304
intelligence,114,8.771929825
lungs,112,7.142857143
delay,110,8.181818182
problem,109,6.422018349
physical ,109,3.669724771
merry go round,108,3.703703704
thinking,107,7.476635514
physical,107,9.345794393
intelligent,107,5.607476636
developmental,107,22.42990654
condominium,104,0
cerebral palsy,104,26.92307692
accident,102,3.921568627
jungle gym,91,41.75824176
early childhood center,75,24
schoolhouse,72,9.722222222
aerobic,65,6.153846154
arithmetic,63,7.936507937
schoolyard,54,20.37037037
after school care,54,35.18518519
nannie,52,13.46153846
wheeze,45,0
cognition,43,4.651162791
early learning center,42,14.28571429
seesaw,40,5
heat exhaustion,22,0
day nursery,20,30
nursery school,17,41.17647059
hyperactivity ,17,41.17647059
early education center,14,21.42857143
greenspace,13,23.07692308
recreational area,10,0
prekindergarten,10,20
dyspraxia,5,20
respite care,3,33.33333333
phocomelia,2,0
playschool,1,100
total,88386,26
